date,Experiment,TRT,full ID,Sex,exposure,time point,mass,fat,eye.L,eye.R,Total eye,hematocrit,load,antibody,notes
4/8/2021,Erin_Metabolic,YES,Blue-10,,first,-6,17.5,1.5,,,,,,,
4/14/2021,Erin_Metabolic,YES,Blue-10,,first,0,17.03,0.5,0,0,0,62,0,0.001874609,
4/15/2021,Erin_Metabolic,YES,Blue-10,,first,1,,,0,0,0,,,,
4/17/2020,Erin_Metabolic,YES,Blue-10,,first,3,,,0,0,0,,,,
4/19/2021,Erin_Metabolic,YES,Blue-10,,first,5,,,2,2,4,,,,
4/21/2021,Erin_Metabolic,YES,Blue-10,,first,7,16.68,0,0.5,0.5,1,54,7.090511021,0.020620704,
4/23/2021,Erin_Metabolic,YES,Blue-10,,first,9,,,2,0.5,2.5,,,,
4/26/2021,Erin_Metabolic,YES,Blue-10,,first,12,,,0,0,0,,,,
4/28/2021,Erin_Metabolic,YES,Blue-10,,first,14,24.05,0.5,0.5,0.5,1,,,0.029368881,this mg load sample was messed up somehow but you should still be able to get an AUC; also I don't have the hematocrit for this time point
5/3/2021,Erin_Metabolic,YES,Blue-10,,first,19,,,0,0,0,,,,
5/5/2021,Erin_Metabolic,YES,Blue-10,,first,21,17.84,0.5,1,0,1,53,6.379987876,0.048739846,
5/25/2021,Erin_Metabolic,YES,Blue-10,,first,41,17.95,0,0,0,0,53,0,0.016871485,
,Weston2021,MG,Blue014,M,first,1,23.36,2,,,0,59,,,
,Weston2021,MG,Blue014,M,first,3,,,,,0,,,,
,Weston2021,MG,Blue014,M,first,5,,,,,3,,,,
,Weston2021,MG,Blue096,M,first,1,16.78,0.5,,,0,60,,,
,Weston2021,MG,Blue096,M,first,3,,,,,1,,,,
,Weston2021,MG,Blue096,M,first,5,,,,,6,,,,
,Weston2021,MG,Blue096,M,first,7,13.3,0,,,2,,8.47743045,,
,Stress-Disease,nostress,Blue050,F,first,-7,18.73,0.5,0,0,0,,,-0.0056838,
,Stress-Disease,nostress,Blue050,F,first,0,17.31,0.5,0,0,0,,0,-0.0020668,
,Stress-Disease,nostress,Blue050,F,first,1,17.07,1,0,0,0,,,,
,Stress-Disease,nostress,Blue050,F,first,2,16.96,0.5,0.5,0.5,1,,,,
,Stress-Disease,nostress,Blue050,F,first,3,16.73,0,0,0,0,,9.231347684,,
,Stress-Disease,nostress,Blue050,F,first,4,16.76,0,0.5,0.5,1,,,,
,Stress-Disease,nostress,Blue050,F,first,5,16.47,0,1.5,1,2.5,,,,
,Stress-Disease,nostress,Blue050,F,first,6,16.48,0,2,2,4,,,,
