Bird.ID,Index,IndexA,Status.A,Status.bac.A,Status,Statusbac,Flock.ID,Treat,TreatA,Trans,Trans.bac,TransA,Trans.bac.A,Round,Sex,Treat.num,day,sample,sample.ex,Eye,mass,fat,hem,ant,logSQ,bac.y.n,visit
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,0,Blood,1,0,15.3,0,54,0,0,0,8067
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,1,,0,0,,,,,,,4970
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,2,,0,0,,,,,,,2177
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,3,eye,1,0.5,21.8,0,,,17.61878,2,3417
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,4,,0,4,,,,,,,4985
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,5,,0,4,,,,,,,2523
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,6,Blood,1,4,15.12,0,67,-0.001075847,18.82376,2,389
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,7,,0,3,,,,,,,
771,Y,1,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,M,1,8,,0,2,,,,,,,
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,0,Blood,1,0,16.2,0.5,49,0.009682625,0,0,4250
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,1,,0,0,,,,,,,3466
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,2,,0,0,,,,,,,2522
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,3,eye,1,0,14.92,0,,,12.25327,2,2152
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,4,,0,0,,,,,,,1418
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,5,,0,0,,,,,,,2459
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,6,Blood,1,0,15.36,0,55,0.00591716,0,0,2737
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,7,,0,0,,,,,,,2467
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,8,,0,0,,,,,,,2124
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,9,eye,1,0,15.65,0,,,0,0,2238
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,10,,0,0,,,,,,,2504
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,11,,0,0,,,,,,,3381
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,12,Blood,1,0,15.61,0,55,0.004841313,0,,3761
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,13,,0,0,,,,,,,2668
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,14,,0,0,,,,,,,3782
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,15,eye,1,0,15.92,0,,,9.91899,0,2789
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,16,,0,0,,,,,,,1951
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,17,,0,0,,,,,,,3027
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,18,Blood,1,0,15.64,0,55,0.017213556,0,,1905
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,19,,0,0,,,,,,,2925
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,20,,0,0,,,,,,,1992
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,21,eye,1,0,15.99,0,,,0,0,2459
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,22,,0,0,,,,,,,1444
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,23,,0,0,,,,,,,634
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,24,Blood,1,0,15.87,0.5,48,0.01183432,0,,666
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,25,,0,0,,,,,,,982
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,26,,0,0,,,,,,,1435
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,27,eye,1,0,16.31,1,,,0,0,645
LD21-141,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,28,,0,0,,,,,,,
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,0,Blood,1,0,17.06,0.5,,-0.001613771,0,0,3105
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,1,,0,0,,,,,,,3344
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,2,,0,0,,,,,,,2914
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,3,eye,1,0,16.71,0.5,,,0,0,2478
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,4,,0,0,,,,,,,2559
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,5,,0,0,,,,,,,3032
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,6,Blood,1,0,16.35,0,51,-0.001075847,0,0,3898
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,7,,0,0,,,,,,,2975
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,8,,0,0,,,,,,,2510
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,9,eye,1,0,17.03,0,,,0,0,2073
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,10,,0,0,,,,,,,2516
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,11,,0,0,,,,,,,2888
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,12,Blood,1,0,16.7,0,47,0,0,,2509
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,13,,0,0,,,,,,,3531
LD21-138,N,0,Y,Y,1,1,1.A,First,1,Y,Y,1,1,1,,1,14,,0,0,,,,,,,2955
